"","Sample","Value","File"
"1","M_D_KF_010",2190380,"startvalue.rds"
"2","M_D_PF_009a",6915480,"startvalue.rds"
"3","$M_D_PF_011a",1609960,"startvalue.rds"
"4","M_D_KF_010",4,"bowtiedict.txt.rds"
"5","M_D_PF_009a",3,"bowtiedict.txt.rds"
"6","M_D_PF_011a",1,"bowtiedict.txt.rds"
"7","M_D_KF_010",4,"bowtiedict.txt_chm.rds"
"8","M_D_PF_009a",3,"bowtiedict.txt_chm.rds"
"9","M_D_PF_011a",1,"bowtiedict.txt_chm.rds"
"10","M_D_KF_010",310,"star1.txt.rds"
"11","M_D_PF_009a",1504,"star1.txt.rds"
"12","M_D_PF_011a",184,"star1.txt.rds"
"13","M_D_KF_010",310,"star1.txt.chm.rds"
"14","M_D_PF_009a",1504,"star1.txt.chm.rds"
"15","M_D_PF_011a",184,"star1.txt.chm.rds"
"16","M_D_KF_010",52,"VG.txt.rds"
"17","M_D_PF_011a",72,"VG.txt.rds"
"18","M_D_PF_009a",61,"VG.txt.rds"
"19","M_D_KF_010",52,"VG.txt_chm.rds"
"20","M_D_PF_011a",72,"VG.txt_chm.rds"
"21","M_D_PF_009a",61,"VG.txt_chm.rds"
"22","M_D_KF_010",219038,"sortmerna.txt.rds"
"23","M_D_PF_009a",691548,"sortmerna.txt.rds"
"24","M_D_PF_011a",160996,"sortmerna.txt.rds"
